timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,grpThreads,allThreads,Latency,IdleTime
1782687972767,11798,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-50,false,172,50,101,0,0
1782687972565,12595,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-49,false,172,50,101,0,0
1782687972371,13387,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-48,false,172,50,101,0,0
1782687972166,14767,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-47,false,172,50,101,0,0
1782687971967,15570,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-46,false,172,50,101,0,0
1782687971768,17159,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-45,false,172,50,101,0,0
1782687971567,19035,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-44,false,172,50,101,0,0
1782687971372,19821,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-43,false,172,50,101,0,0
1782687971165,20604,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-42,false,172,50,101,0,0
1782687970970,21362,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-41,false,172,50,101,0,0
1782687970763,22140,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-40,false,172,50,101,0,0
1782687970569,22917,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-39,false,172,50,101,0,0
1782687970367,23700,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-38,false,172,50,101,0,0
1782687970173,25485,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-37,false,172,50,101,0,0
1782687969972,26285,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-36,false,172,50,101,0,0
1782687969774,28019,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-35,false,172,50,101,0,0
1782687969565,28838,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-34,false,172,50,101,0,0
1782687969374,29621,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-33,false,172,50,101,0,0
1782687969168,31035,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-32,false,172,50,101,0,0
1782687968963,31841,UPDATE: labresult_neil_oltp lab_result_value,null 0,java.sql.SQLException: Cannot create PoolableConnectionFactory (FATAL: Snowflake authentication failed: authentication failed (user: application database: rkdb_mirror remote host: 52.161.104.33)),03 - UPDATE Benchmark (50 threads x 120s) 3-31,false,172,50,101,0,0
